detid,dcuhardid,fedid,ccuaddress,i2cchannel,i2caddress,fedchannel,napvpairs,layer,row,column
0,5501567,116,1,17,32,93,3,1,1,0
0,5501567,116,1,17,34,94,3,1,1,0
0,5501567,116,1,17,36,95,3,1,1,0
0,15858859,116,1,18,32,92,3,0,0,0
0,15858859,116,1,18,34,91,3,0,0,0
0,15858859,116,1,18,36,90,3,0,0,0
0,14023039,116,1,21,32,88,3,1,0,0
0,14023039,116,1,21,34,89,3,1,0,0
0,14023039,116,1,21,36,87,3,1,0,0
0,16382299,116,1,22,32,85,3,2,0,0
0,16382299,116,1,22,34,86,3,2,0,0
0,16382299,116,1,22,36,84,3,2,0,0
0,4062187,116,2,17,32,76,3,3,0,0
0,4062187,116,2,17,34,75,3,3,0,0
0,4062187,116,2,17,36,77,3,3,0,0
0,5503323,116,2,18,32,72,3,2,0,1
0,5503323,116,2,18,34,74,3,2,0,1
0,5503323,116,2,18,36,73,3,2,0,1
0,11795675,116,2,21,32,78,3,3,1,0
0,11795675,116,2,21,34,79,3,3,1,0
0,11795675,116,2,21,36,80,3,3,1,0
0,4128303,116,2,22,32,83,3,4,0,1
0,4128303,116,2,22,34,81,3,4,0,1
0,4128303,116,2,22,36,82,3,4,0,1
0,12449319,116,10,17,32,70,3,5,1,0
0,12449319,116,10,17,34,71,3,5,1,0
0,12449319,116,10,17,36,69,3,5,1,0
0,14282907,116,10,18,32,66,3,4,0,0
0,14282907,116,10,18,34,68,3,4,0,0
0,14282907,116,10,18,36,67,3,4,0,0
0,8123927,116,10,21,32,64,3,5,0,0
0,8123927,116,10,21,34,63,3,5,0,0
0,8123927,116,10,21,36,65,3,5,0,0
0,13759165,116,10,22,32,61,3,6,0,0
0,13759165,116,10,22,34,62,3,6,0,0
0,13759165,116,10,22,36,60,3,6,0,0
0,6224423,116,95,17,32,50,3,7,0,0
0,6224423,116,95,17,34,53,3,7,0,0
0,6224423,116,95,17,36,52,3,7,0,0
0,14613693,116,95,18,32,49,3,6,0,1
0,14613693,116,95,18,34,51,3,6,0,1
0,14613693,116,95,18,36,48,3,6,0,1
0,3667679,116,95,21,32,54,3,7,1,0
0,3667679,116,95,21,34,56,3,7,1,0
0,3667679,116,95,21,36,55,3,7,1,0
0,4128479,116,95,22,32,57,3,8,0,1
0,4128479,116,95,22,34,58,3,8,0,1
0,4128479,116,95,22,36,59,3,8,0,1
0,3800603,116,118,17,32,46,3,9,1,0
0,3800603,116,118,17,34,47,3,9,1,0
0,3800603,116,118,17,36,45,3,9,1,0
0,6025671,116,118,18,32,42,3,8,0,0
0,6025671,116,118,18,34,43,3,8,0,0
0,6025671,116,118,18,36,44,3,8,0,0
0,6225447,116,118,21,32,40,3,9,0,0
0,6225447,116,118,21,34,39,3,9,0,0
0,6225447,116,118,21,36,41,3,9,0,0
0,5896347,116,118,22,32,38,3,10,0,0
0,5896347,116,118,22,34,37,3,10,0,0
0,5896347,116,118,22,36,36,3,10,0,0
0,7469547,116,104,17,32,35,3,11,0,0
0,7469547,116,104,17,34,33,3,11,0,0
0,7469547,116,104,17,36,34,3,11,0,0
0,14546375,116,104,18,32,32,3,10,0,1
0,14546375,116,104,18,34,30,3,10,0,1
0,14546375,116,104,18,36,31,3,10,0,1
0,3406495,116,104,21,32,26,3,11,1,0
0,3406495,116,104,21,34,25,3,11,1,0
0,3406495,116,104,21,36,24,3,11,1,0
0,14022995,116,34,17,32,22,3,13,1,0
0,14022995,116,34,17,34,23,3,13,1,0
0,14022995,116,34,17,36,21,3,13,1,0
0,4127799,116,34,18,32,19,3,12,0,0
0,4127799,116,34,18,34,18,3,12,0,0
0,4127799,116,34,18,36,20,3,12,0,0
0,14546075,116,34,21,32,16,3,13,0,0
0,14546075,116,34,21,34,17,3,13,0,0
0,14546075,116,34,21,36,15,3,13,0,0
